kategori;nama_wisata;alamat;provinsi;kota_kabupaten;nama_lengkap;deskripsi_bersih
wisata alam;Ranu Kumbolo;Ranu Kumbolo, Pasrujambe, Kabupaten Lumajang, Jawa Timur, Jawa, Indonesia;Jawa Timur;Kabupaten Lumajang;Ranu Kumbolo, Kabupaten Lumajang, Jawa Timur;Ranu Kumbolo adalah danau alam di kawasan Taman Nasional Bromo Tengger Semeru, Kabupaten Lumajang, yang menjadi tempat favorit pendaki Semeru untuk berkemah dan menikmati pemandangan pegunungan.
wahana keluarga;Hawai Waterpark Malang;Hawai Waterpark, Jl. Graha Kencana Raya, Banjararum, Singosari, Kabupaten Malang, Jawa Timur, 65126, Indonesia;Jawa Timur;Kabupaten Malang;Hawai Waterpark Malang, Kabupaten Malang, Jawa Timur;Hawai Waterpark Malang merupakan taman wisata air bertema Hawaii di Kabupaten Malang yang menawarkan berbagai seluncuran, kolam ombak, dan wahana permainan air untuk keluarga
wahana keluarga;Malang Night Paradise;Malang Night Paradise, Graha Kencana Raya, Jl. Raya Karanglo No.66, Balearjosari, Blimbing, Kota Malang, Jawa Timur, Indonesia;Jawa Timur;Kota Malang;Malang Night Paradise, Kota Malang, Jawa Timur;Malang Night Paradise adalah taman hiburan malam di Kota Malang yang menghadirkan taman lampu, wahana tematik, dan area bermain keluarga dengan suasana penuh instalasi cahaya.
wisata alam;Ranu Pani;Ranu Pani, Desa Ranu Pani, Senduro, Kabupaten Lumajang, Jawa Timur, Indonesia;Jawa Timur;Kabupaten Lumajang;Ranu Pani, Kabupaten Lumajang, Jawa Timur;Ranu Pani adalah danau kecil di Desa Ranu Pani, Lumajang, yang menjadi pintu gerbang pendakian Gunung Semeru dan menawarkan suasana desa pegunungan yang sejuk.
wisata alam;Ranu Regulo;Ranu Regulo, Desa Ranu Pani, Senduro, Kabupaten Lumajang, Jawa Timur, Indonesia;Jawa Timur;Kabupaten Lumajang;Ranu Regulo, Kabupaten Lumajang, Jawa Timur;Ranu Regulo adalah danau pegunungan di sekitar Desa Ranu Pani yang menawarkan pemandangan tenang dan sering dijadikan lokasi berkemah alternatif selain Ranu Kumbolo.
wahana keluarga;Wisata Bahari Lamongan;Wisata Bahari Lamongan, Jalan Raya Paciran, Paciran, Kabupaten Lamongan, Jawa Timur, Indonesia;Jawa Timur;Kabupaten Lamongan;Wisata Bahari Lamongan, Kabupaten Lamongan, Jawa Timur;Wisata Bahari Lamongan adalah taman rekreasi keluarga di pesisir Lamongan yang menggabungkan wahana permainan, area pantai, dan berbagai atraksi tematik bertema bahari.
taman;Kebun Bibit Wonorejo;Kebun Bibit Wonorejo, Jl. Raya Wonorejo, Wonorejo, Rungkut, Surabaya, Jawa Timur, Indonesia;Jawa Timur;Surabaya;Kebun Bibit Wonorejo, Surabaya, Jawa Timur;Kebun Bibit Wonorejo merupakan ruang terbuka hijau di Surabaya dengan danau, area jogging, dan taman bermain yang sering dimanfaatkan warga untuk rekreasi keluarga dan olahraga.
taman;Taman Bungkul;Taman Bungkul, Jl. Raya Darmo, Darmo, Wonokromo, Surabaya, Jawa Timur, Indonesia;Jawa Timur;Surabaya;Taman Bungkul, Surabaya, Jawa Timur;Taman Bungkul adalah taman kota populer di Surabaya yang dilengkapi area bermain, panggung, jalur pejalan kaki, dan kuliner kaki lima, sering menjadi tempat nongkrong warga.
wahana keluarga;Kenjeran Park;Kenjeran Park, Jl. Pantai Ria Kenjeran, Sukolilo Baru, Bulak, Surabaya, Jawa Timur, Indonesia;Jawa Timur;Surabaya;Kenjeran Park, Surabaya, Jawa Timur;Kenjeran Park merupakan kawasan wisata keluarga di Surabaya yang menggabungkan pantai, taman bermain, dan replika bangunan ikonik seperti pagoda dan klenteng.
wisata tematik;Kampung Lawas Maspati;Kampung Lawas Maspati, Jl. Maspati Dalam, Bubutan, Surabaya, Jawa Timur, Indonesia;Jawa Timur;Surabaya;Kampung Lawas Maspati, Surabaya, Jawa Timur;Kampung Lawas Maspati adalah kampung wisata tematik di Surabaya dengan gang mural, rumah tua, dan aktivitas budaya yang mengangkat sejarah permukiman lama.
wisata tematik;Kota Lama Surabaya;Kawasan Kota Lama Surabaya, sekitar Jl. Kembang Jepun, Jl. Jembatan Merah, dan sekitarnya, Surabaya, Jawa Timur, Indonesia;Jawa Timur;Surabaya;Kota Lama Surabaya, Surabaya, Jawa Timur;Kota Lama Surabaya adalah kawasan kota tua dengan bangunan kolonial, museum, dan kawasan perdagangan lama di sekitar Jembatan Merah yang sering dijadikan lokasi wisata sejarah dan fotografi.
wisata tematik;Jalan Tunjungan;Jalan Tunjungan, Genteng, Surabaya, Jawa Timur, Indonesia;Jawa Timur;Surabaya;Jalan Tunjungan, Surabaya, Jawa Timur;Jalan Tunjungan adalah kawasan heritage di pusat Surabaya yang dipenuhi gedung kolonial, hotel bersejarah, dan pertokoan modern, terkenal sebagai ikon kota dan lokasi wisata foto malam hari.
wisata tematik;Surabaya North Quay;Surabaya North Quay, Terminal Gapura Surya Nusantara, Pelabuhan Tanjung Perak, Surabaya, Jawa Timur, Indonesi;Jawa Timur;Surabaya;Surabaya North Quay, Surabaya, Jawa Timur;Surabaya North Quay adalah kawasan wisata di area Pelabuhan Tanjung Perak yang menawarkan pemandangan kapal pesiar, sunset di laut, serta area kuliner dan event kreatif.
taman;Taman Prestasi Surabaya;Taman Prestasi, Jl. Ketabang Kali, Ketabang, Genteng, Surabaya, Jawa Timur, Indonesia;Jawa Timur;Surabaya;Taman Prestasi, Surabaya, Jawa Timur;Taman Prestasi adalah taman kota di tepi Kalimas dengan area hijau, jalur pejalan kaki, dan lokasi naik perahu wisata Kalimas yang sering dipakai untuk rekreasi keluarga.
taman;Taman Flora Bratang;Taman Flora Bratang, Jl. Bratang Binangun, Baratajaya, Gubeng, Surabaya, Jawa Timur, Indonesia;Jawa Timur;Surabaya;Taman Flora Bratang, Surabaya, Jawa Timur;Taman Flora Bratang adalah taman kota dengan koleksi tanaman, area bermain, dan fasilitas olahraga ringan yang menjadi salah satu ruang terbuka hijau favorit warga Surabaya.
wisata tematik;Kampung Nelayan Kenjeran;Kampung Nelayan Kenjeran, sekitar Jl. Pantai Kenjeran, Bulak, Surabaya, Jawa Timur, Indonesia;Jawa Timur;Surabaya;Kampung Nelayan Kenjeran, Surabaya, Jawa Timur;Kampung Nelayan Kenjeran adalah kampung wisata pesisir di Surabaya dengan rumah-rumah nelayan, mural, dan spot foto berlatar laut yang mendukung wisata pantai Kenjeran.
gunung;Gunung Panderman;Gunung Panderman, Desa Pesanggrahan, Kota Batu, Jawa Timur, Indonesia;Jawa Timur;Kota Batu;Gunung Panderman, Kota Batu, Jawa Timur;Gunung Panderman adalah gunung setinggi sekitar 2.045 mdpl di Kota Batu yang populer sebagai tujuan pendakian singkat dengan pemandangan Kota Batu dan pegunungan sekitarnya.
gunung;Gunung Butak;Gunung Butak, kawasan Pegunungan Putri Tidur, akses dari Desa Panderman, Kota Batu, atau Sirah Kencong, Blitar, Jawa Timur, Indonesia;Jawa Timur;Kabupaten Malang;Gunung Butak, Kabupaten Malang dan Blitar, Jawa Timur;Gunung Butak adalah gunung setinggi sekitar 2.868 mdpl di perbatasan Malang dan Blitar yang menawarkan jalur pendakian menantang dengan panorama 360 derajat pegunungan di Jawa Timur.
gunung;Gunung Penanggungan;Gunung Penanggungan, kawasan Trawas dan Ngoro, Kabupaten Mojokerto, dan Gempol, Kabupaten Pasuruan, Jawa Timur, Indonesia;Jawa Timur;Kabupaten Mojokerto;Gunung Penanggungan, Kabupaten Mojokerto dan Pasuruan, Jawa Timur;Gunung Penanggungan adalah gunung setinggi sekitar 1.653 mdpl di Mojokerto dan Pasuruan yang terkenal dengan jalur pendakian pendek, situs-situs candi kuno, dan cocok bagi pendaki pemula.
gunung;Gunung Argopuro;Gunung Argopuro, kawasan pegunungan di Probolinggo, Situbondo, dan Bondowoso, Jawa Timur, Indonesia;Jawa Timur;Kabupaten Probolinggo;Gunung Argopuro, Kabupaten Probolinggo, Situbondo, dan Bondowoso, Jawa Timur;Gunung Argopuro adalah gunung setinggi sekitar 3.088 mdpl yang terkenal dengan jalur pendakian sangat panjang, padang sabana Cikasur, dan pemandangan alam yang luas di Jawa Timur.
gunung;Gunung Kawi;Gunung Kawi, kawasan pegunungan di perbatasan Kabupaten Malang dan Blitar, Jawa Timur, Indonesia;Jawa Timur;Kabupaten Malang;Gunung Kawi, Kabupaten Malang dan Blitar, Jawa Timur;Gunung Kawi adalah gunung di perbatasan Malang dan Blitar yang dikenal sebagai tujuan pendakian sekaligus ziarah dengan banyak petilasan dan pemandangan perkebunan di lerengnya
gunung;Gunung Lawu;Gunung Lawu, jalur pendakian Cemoro Sewu, Plaosan, Kabupaten Magetan, Jawa Timur, Indonesia;Jawa Timur;Kabupaten Magetan;Gunung Lawu, Kabupaten Magetan, Jawa Timur;Gunung Lawu adalah gunung berapi setinggi sekitar 3.265 mdpl di perbatasan Jawa Tengah dan Jawa Timur, dengan salah satu jalur pendakian populer melalui Cemoro Sewu di Kabupaten Magetan.
gunung;Gunung Bokong;Gunung Bokong, Desa Pesanggrahan, Kecamatan Batu, Kota Batu, Jawa Timur, Indonesia;Jawa Timur;Kota Batu;Gunung Bokong, Kota Batu, Jawa Timur;Gunung Bokong adalah gunung setinggi sekitar 1.746 mdpl di Desa Pesanggrahan, Kota Batu, yang dikenal sebagai jalur pendakian baru dengan rute pendek dan pemandangan pegunungan Kawi–Panderman yang cocok untuk pendaki pemula.
mall;Ciputra World Surabaya;Ciputra World Surabaya, Jl. Mayjen Sungkono No.89, Dukuh Pakis, Surabaya, Jawa Timur, Indonesia;Jawa Timur;Surabaya;Ciputra World Surabaya, Surabaya, Jawa Timur;Ciputra World Surabaya adalah pusat perbelanjaan modern di kawasan Mayjen Sungkono yang dikenal dengan tenant fashion internasional, area makan mewah, dan akses langsung ke hotel bintang lima.
mall;Grand City Mall Surabaya;Grand City Mall, Jl. Walikota Mustajab No.1, Ketabang, Genteng, Surabaya, Jawa Timur, Indonesia;Jawa Timur;Surabaya;Grand City Mall Surabaya, Surabaya, Jawa Timur;Grand City Mall Surabaya adalah pusat perbelanjaan di pusat kota yang terhubung dengan gedung convention hall, sering dipakai untuk pameran besar, konser, dan event komunitas.
mall;Pakuwon City Mall;Pakuwon City Mall, Jl. Kejawan Putih Mutiara, Mulyorejo, Surabaya, Jawa Timur, Indonesia;Jawa Timur;Surabaya;Pakuwon City Mall, Surabaya, Jawa Timur;Pakuwon City Mall adalah pusat perbelanjaan di kawasan Pakuwon City Surabaya Timur yang melayani kebutuhan penghuni perumahan dan apartemen dengan beragam tenant retail dan kuliner.
wisata malam;Pasar Malam Kodam Brawijaya;Pasar Malam Kodam Brawijaya, Jl. Brawijaya, Sawunggaling, Wonokromo, Surabaya, Jawa Timur, Indonesia;Jawa Timur;Surabaya;Pasar Malam Kodam Brawijaya, Surabaya, Jawa Timur;Pasar Malam Kodam Brawijaya adalah pasar malam rakyat di Surabaya yang menyajikan wahana permainan, jajanan kaki lima, dan aneka produk murah untuk hiburan keluarga pada malam hari.
wisata malam;Kya-Kya Pecinan Surabaya;Kya-Kya Pecinan Surabaya, kawasan Jl. Kembang Jepun dan sekitarnya, Surabaya, Jawa Timur, Indonesia;Jawa Timur;Surabaya;Kya-Kya Pecinan, Surabaya, Jawa Timur;Kya-Kya Pecinan Surabaya adalah kawasan night market bernuansa pecinan dengan lampion, jajanan kaki lima, dan pertunjukan jalanan yang ramai dikunjungi wisatawan pada malam hari.
wisata malam;G-Walk Citraland;G-Walk, Kawasan Citraland, Sambikerep, Surabaya, Jawa Timur, Indonesia;Jawa Timur;Surabaya;G-Walk Citraland, Surabaya, Jawa Timur;G-Walk Citraland adalah koridor kuliner dan kafe di kawasan barat Surabaya yang ramai pada malam hari dengan deretan restoran, jajanan, dan hiburan live music.
wisata alam;Goa Tabuhan;Goa Tabuhan, Dusun Tabuhan, Desa Wareng, Kecamatan Punung, Kabupaten Pacitan, Jawa Timur, Indonesia;Jawa Timur;Pacitan;Goa Tabuhan, Kabupaten Pacitan, Jawa Timur;Goa Tabuhan adalah goa alam di Pacitan yang terkenal dengan stalaktit dan stalagmit yang jika dipukul menghasilkan bunyi seperti gamelan, sehingga sering dijadikan lokasi pertunjukan musik tradisional.
wisata alam;Goa Lowo;Goa Lowo, Desa Watuagung, Kecamatan Watulimo, Kabupaten Trenggalek, Jawa Timur, Indonesia;Jawa Timur;Trenggalek;Goa Lowo, Kabupaten Trenggalek, Jawa Timur;Goa Lowo adalah goa alam di Trenggalek yang dikenal sebagai salah satu goa terbesar di Asia Tenggara, memiliki ruangan luas dengan ribuan kelelawar dan stalaktit-stalagmit yang unik.
wisata tematik;Kampoeng Heritage Kajoetangan;Kampoeng Heritage Kajoetangan, Kelurahan Kauman, Kecamatan Klojen, dekat Jl. Basuki Rahmat, Kota Malang, Jawa Timur, Indonesia;Jawa Timur;Kota Malang;Kampoeng Heritage Kajoetangan, Kota Malang, Jawa Timur;Kampoeng Heritage Kajoetangan adalah kampung tua di pusat Kota Malang dengan deretan rumah lawas, gang sempit, mural, dan pasar krempyeng yang menawarkan pengalaman jelajah Malang tempo dulu.
wisata alam;Wisata Paralayang Batu;Wisata Paralayang Kota Batu, Jl. Gunung Banyak, Songgokerto, Kota Batu, Jawa Timur, Indonesia;Jawa Timur;Kota Batu;Wisata Paralayang Gunung Banyak, Kota Batu, Jawa Timur;Wisata Paralayang Batu adalah kawasan paralayang di puncak Gunung Banyak yang menawarkan aktivitas terbang tandem dan spot melihat pemandangan Kota Batu siang maupun malam dari ketinggian sekitar 1.300 mdpl.
wisata alam;Omah Kayu Batu;Omah Kayu, Jl. Gunung Banyak, Gunungsari, Kecamatan Bumiaji, Kota Batu, Jawa Timur, Indonesia;Jawa Timur;Kota Batu;Omah Kayu Batu, Kota Batu, Jawa Timur;Omah Kayu Batu adalah penginapan dan spot foto rumah pohon di kawasan Gunung Banyak yang menyajikan pemandangan lembah dan Kota Batu dari ketinggian dengan suasana hutan pinus yang sejuk.
wisata alam;Taman Langit Gunung Banyak;Taman Langit, kawasan Wisata Gunung Banyak, Jl. Gunung Banyak, Songgokerto, Kota Batu, Jawa Timur, Indonesia;Jawa Timur;Kota Batu;Taman Langit Gunung Banyak, Kota Batu, Jawa Timur;Taman Langit Gunung Banyak adalah area wisata di punggung Gunung Banyak dengan berbagai instalasi dan spot foto bertema langit serta pemandangan kota dan pegunungan yang terlihat jelas saat sunrise maupun malam hari.
pantai;Pantai Pulau Merah;Pantai Pulau Merah, Dusun Pancer, Desa Sumberagung, Kecamatan Pesanggaran, Kabupaten Banyuwangi, Jawa Timur, Indonesia;Jawa Timur;Banyuwangi;Pantai Pulau Merah, Banyuwangi, Jawa Timur;Pantai Pulau Merah adalah pantai berpasir cerah di Banyuwangi dengan ombak besar yang populer untuk selancar dan pulau karang berwarna kemerahan di lepas pantai yang menjadi ikon utamanya.
pantai;Pantai Tiga Warna;Pantai Tiga Warna, Desa Tambakrejo, Kecamatan Sumbermanjing Wetan, Kabupaten Malang, Jawa Timur, Indonesia;Jawa Timur;Kabupaten Malang;Pantai Tiga Warna, Kabupaten Malang, Jawa Timur;Pantai Tiga Warna adalah pantai konservasi di pesisir Malang yang terkenal dengan gradasi tiga warna air laut dan kegiatan snorkeling untuk menikmati terumbu karang yang dijaga ketat melalui sistem reservasi.
pantai;Pantai Teluk Hijau;Pantai Teluk Hijau, kawasan Taman Nasional Meru Betiri, Kecamatan Pesanggaran, Kabupaten Banyuwangi, Jawa Timur, Indonesia;Jawa Timur;Banyuwangi;Pantai Teluk Hijau, Banyuwangi, Jawa Timur;Pantai Teluk Hijau adalah teluk kecil berpasir putih dengan air laut berwarna hijau jernih di kawasan Taman Nasional Meru Betiri yang terkenal akan suasananya yang masih alami dan tenang.
pantai;Pantai Banyu Tibo;Pantai Banyu Tibo, Desa Widoro, Kecamatan Donorojo, Kabupaten Pacitan, Jawa Timur, Indonesia;Jawa Timur;Pacitan;Pantai Banyu Tibo, Kabupaten Pacitan, Jawa Timur;Pantai Banyu Tibo adalah pantai unik di Pacitan yang memiliki air terjun kecil langsung jatuh ke bibir pantai, berpadu dengan pasir dan tebing batu di sekitarnya.
pantai;Pantai Buyutan;Pantai Buyutan, Desa Widoro, Kecamatan Donorojo, Kabupaten Pacitan, Jawa Timur, Indonesia;Jawa Timur;Pacitan;Pantai Buyutan, Kabupaten Pacitan, Jawa Timur;Pantai Buyutan adalah pantai di Pacitan dengan pasir putih luas dan batu karang besar di laut yang sering disebut mirip miniatur Raja Ampat karena gugusan karangnya.
pantai;Pantai Srau;Pantai Srau, Desa Candi, Kecamatan Pringkuku, Kabupaten Pacitan, Jawa Timur, Indonesia;Jawa Timur;Pacitan;Pantai Srau, Kabupaten Pacitan, Jawa Timur;Pantai Srau adalah pantai di Pacitan dengan beberapa teluk kecil, ombak cukup besar, dan tebing karang, cocok untuk menikmati suasana pantai yang masih relatif sepi
wisata alam;Telaga Sarangan;Telaga Sarangan, Desa Sarangan, Kecamatan Plaosan, Kabupaten Magetan, Jawa Timur, Indonesia;Jawa Timur;Kabupaten Magetan;Telaga Sarangan, Kabupaten Magetan, Jawa Timur;Telaga Sarangan adalah telaga alami di lereng Gunung Lawu, Kabupaten Magetan, yang menjadi ikon wisata dengan pemandangan danau pegunungan, udara sejuk, serta fasilitas perahu wisata, berkuda, kuliner, dan penginapan di sekelilingnya.
wisata alam;Ekowisata Mangrove Wonorejo;Ekowisata Mangrove Wonorejo, Jl. Raya Wonorejo No.1, Wonorejo, Rungkut, Surabaya, Jawa Timur, Indonesia;Jawa Timur;Surabaya;Ekowisata Mangrove Wonorejo, Surabaya, Jawa Timur;Ekowisata Mangrove Wonorejo adalah kawasan konservasi mangrove di Surabaya Timur dengan jalur tracking kayu dan wisata perahu yang mengenalkan ekosistem mangrove di tepi laut.
wisata alam;Kebun Raya Mangrove Gunung Anyar;Kebun Raya Mangrove Gunung Anyar, Jl. Wisata Mangrove Gunung Anyar Tambak, Gunung Anyar, Surabaya, Jawa Timur, Indonesia;Jawa Timur;Surabaya;Kebun Raya Mangrove Gunung Anyar, Surabaya, Jawa Timur;Kebun Raya Mangrove Gunung Anyar adalah kawasan hijau di Surabaya Timur yang berisi hutan mangrove, jalur susur mangrove, dan area rekreasi keluarga di tepi laut.
taman;Taman Suroboyo;Taman Suroboyo, Jl. Pantai Kenjeran, Kenjeran, Bulak, Surabaya, Jawa Timur, Indonesia;Jawa Timur;Surabaya;Taman Suroboyo, Surabaya, Jawa Timur;Taman Suroboyo adalah taman kota besar di kawasan pantai Kenjeran dengan patung Suro dan Boyo raksasa, area bermain, dan jalur pejalan kaki di tepi laut.
taman;Taman Trunojoyo Malang;Taman Trunojoyo, Jl. Trunojoyo, Klojen, Kota Malang, Jawa Timur, Indonesia;Jawa Timur;Kota Malang;Taman Trunojoyo, Kota Malang, Jawa Timur;Taman Trunojoyo adalah taman kota di depan Stasiun Malang yang rindang dengan area bermain dan tempat duduk, sering dimanfaatkan warga untuk bersantai dan menunggu kereta.
wisata tematik;Florawisata San Terra de Lafonte;Florawisata San Terra de Lafonte, Jl. Trunojoyo, Jurangrejo, Pandesari, Kecamatan Pujon, Kabupaten Malang, Jawa Timur, Indonesia;Jawa Timur;Kabupaten Malang;Florawisata San Terra de Lafonte, Kabupaten Malang, Jawa Timur;Florawisata San Terra de Lafonte adalah taman bunga tematik di Pujon dengan ratusan jenis tanaman hias dan bangunan bergaya Eropa dan Korea yang menjadi spot foto populer.
wisata alam;Bukit Nirwana Pujon;Bukit Nirwana, Desa Pujon Kidul, Kecamatan Pujon, Kabupaten Malang, Jawa Timur, Indonesia;Jawa Timur;Kabupaten Malang;Bukit Nirwana Pujon, Kabupaten Malang, Jawa Timur;Bukit Nirwana Pujon adalah bukit wisata di Desa Pujon Kidul dengan gardu pandang, spot foto, dan area kuliner yang menyajikan pemandangan pegunungan dan sawah dari ketinggian.
pantai;Pantai Sendang Biru;Pantai Sendang Biru, Desa Tambakrejo, Kecamatan Sumbermanjing Wetan, Kabupaten Malang, Jawa Timur, Indonesia;Jawa Timur;Kabupaten Malang;Pantai Sendang Biru, Kabupaten Malang, Jawa Timur;Pantai Sendang Biru adalah pantai di Malang Selatan yang menjadi pintu menuju Pulau Sempu dan dikenal dengan air laut tenang, deretan perahu nelayan, dan pemandangan pulau di seberang.
pantai;Pantai Ngliyep;Pantai Ngliyep, Desa Kedungsalam, Kecamatan Donomulyo, Kabupaten Malang, Jawa Timur, Indonesia;Jawa Timur;Kabupaten Malang;Pantai Ngliyep, Kabupaten Malang, Jawa Timur;Pantai Ngliyep adalah pantai di Malang Selatan yang memiliki pasir putih, tebing karang, dan pulau kecil di lepas pantai, sering dijadikan lokasi menikmati sunset.
pantai;Pantai Batu Bengkung;Pantai Batu Bengkung, Desa Gajahrejo, Kecamatan Gedangan, Kabupaten Malang, Jawa Timur, Indonesia;Jawa Timur;Kabupaten Malang;Pantai Batu Bengkung, Kabupaten Malang, Jawa Timur;Pantai Batu Bengkung adalah pantai di Malang Selatan dengan tebing tinggi dan kolam-kolam alami yang terjebak di antara karang saat pasang, menawarkan pemandangan dramatis Samudra Hindia.
pantai;Pantai Sipelot;Pantai Sipelot, Desa Pujiharjo, Kecamatan Tirtoyudo, Kabupaten Malang, Jawa Timur, Indonesia;Jawa Timur;Kabupaten Malang;Pantai Sipelot, Kabupaten Malang, Jawa Timur;Pantai Sipelot adalah pantai teluk di Malang Selatan yang dikelilingi perbukitan hijau dengan air laut jernih dan air terjun Coban Sipelot di salah satu sisinya.
wisata alam;Pantai Utama Raya;Rest Area Utama Raya, Jl. Raya Pantura Situbondo–Probolinggo, Desa Curah Sowe, Kecamatan Banyuputih, Kabupaten Situbondo, Jawa Timur, Indonesia;Jawa Timur;Situbondo;Pantai dan Rest Area Utama Raya, Situbondo, Jawa Timur;Pantai Utama Raya adalah kawasan rest area di jalur pantura yang terhubung langsung dengan pantai, dilengkapi rumah makan, SPBU, musala, dan resort hotel sehingga sering menjadi tempat singgah sekaligus wisata tepi laut dekat kawasan PLTU Paiton.
